well-formed targets in the exhaustive domain: 234
combinations in the full domain (clients x targets x probe outcomes x caller Worlds x start paths x redelivery): 33696
SEQUENTIAL server: profile | client | probe | start path | stamp/final (caller World 8, no redelivery) | verdict
pre3 | stableCaller | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | stableCaller | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | answered | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | answered | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | answered | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
pre3 | cli(run spec 3) | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
stable | current(#4327) | answered | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | current(#4327) | answered | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | current(#4327) | answered | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | current(#4327) | timeout | fresh | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
stable | current(#4327) | timeout | run_created-late | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
stable | current(#4327) | timeout | resilient | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
stable | current(#4327) | no-channel | fresh | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
stable | current(#4327) | no-channel | run_created-late | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
stable | current(#4327) | no-channel | resilient | stamp=6 | #1044 finals=[6] BRICK | fixed finals=[6] BRICK
